x	y	angle	response
85.6359	863.196	23.311	0.041272
85.6577	677.337	7.15527	0.0163812
85.8466	807.117	61.8521	0.031128
86.1077	912.751	198.012	0.0197487
86.5055	893.925	229.55	0.0311217
86.6973	812.735	227.84	0.0254114
86.8611	849.719	51.2173	0.0325035
87.1335	676.826	7.56177	0.0179361
87.1759	832.784	212.613	0.0138963
87.1891	823.811	26.0735	0.0197383
87.4376	855.606	43.9611	0.0313293
88.1508	765.495	342.268	0.0166713
88.1584	654.408	13.2058	0.0150512
88.3083	955.953	124.764	0.0460942
88.4879	665.705	7.59811	0.0201188
89.7745	870.963	165.046	0.0178797
90.0023	809.001	228.46	0.0190105
90.0949	1005.94	189.018	0.0152965
90.3765	840.531	44.9465	0.0268497
90.3967	966.866	263.753	0.014632
90.4786	820.984	30.4191	0.0263969
90.4786	820.984	178.945	0.0263969
90.9867	1036.11	9.08475	0.0214577
90.9867	1036.11	187.516	0.0214577
91.2456	643.384	5.55405	0.0170759
91.4022	862.34	162.927	0.03133
91.428	867.728	359.241	0.0280089
91.6837	812.95	13.4152	0.0266377
91.7084	708.443	7.1329	0.0268416
91.7149	722.71	251.72	0.0179908
91.7149	722.71	324.766	0.0179908
92.1023	910.219	22.9089	0.0292622
92.1023	910.219	191.038	0.0292622
92.1225	835.404	51.6171	0.0345279
92.1225	835.404	195.828	0.0345279
92.19	900.629	224.728	0.0361347
92.2064	319.467	191.112	0.0275199
92.2095	835.631	50.9579	0.0346307
92.2095	835.631	191.876	0.0346307
92.3447	766.539	322.648	0.0162736
92.3879	874.058	353.057	0.0256722
92.5549	1021.21	23.7905	0.0169429
92.5883	943.965	193.001	0.0272722
93.4838	879.198	170.505	0.0261113
93.4838	879.198	347.165	0.0261113
93.6574	1007.92	189.8	0.0177665
93.8261	865.606	2.71906	0.0158808
93.8873	623.782	8.50165	0.0167786
93.965	830.742	359.026	0.0270441
94.0305	871.451	354.977	0.0571891
94.1672	739.135	324.948	0.019125
94.2257	994.13	74.7545	0.0146093
94.8594	978.191	257.433	0.014274
95.0167	816.284	158.3	0.0169748
95.3152	807.683	70.6612	0.0260894
95.9868	856.995	59.1964	0.0260097
96.0072	764.151	296.395	0.0177415
96.3809	916.133	183.683	0.0154369
96.7969	291.858	7.8587	0.0347549
96.7969	291.858	192.578	0.0347549
97.2794	951.296	120.949	0.0331504
97.5024	691.814	113.009	0.01903
97.5024	691.814	327.971	0.01903
97.5907	733.009	311.56	0.0134183
97.5907	733.009	352.216	0.0134183
97.7632	1005.97	1.19626	0.0150895
97.8944	761.358	290.552	0.020069
97.9901	1030.29	13.4337	0.0151077
98.0017	588.656	10.3256	0.0150964
98.2029	886.789	246.336	0.0239231
98.742	904.151	219.823	0.0356829
99.8394	739.289	233.24	0.0276977
99.8423	995.821	78.0492	0.0196495
99.8423	995.821	316.786	0.0196495
100.788	829.982	97.0949	0.0673257
100.822	811.886	258.996	0.0308554
101.07	764.973	39.8899	0.0268344
101.07	764.973	282.345	0.0268344
101.17	894.919	48.4728	0.0309707
101.17	894.919	233.945	0.0309707
101.427	586.275	10.175	0.0157664
101.758	603.58	9.98096	0.0167985
102.584	962.731	289.181	0.0333768
102.813	1090.9	88.1812	0.0190963
102.813	1090.9	269.699	0.0190963
102.979	784.481	66.7671	0.0200688
