x	y	angle	response
120.842	842.218	180.102	0.0600389
120.875	846.334	102.009	0.0251054
120.875	846.334	282.42	0.0251054
121.512	953.118	54.1192	0.0269232
122.575	782.915	353.419	0.0199202
123.317	861.009	301.144	0.0230999
123.449	933.082	12.0142	0.026967
123.837	785.534	49.4499	0.0179288
123.976	752.108	245.536	0.015633
124.062	867.704	184.972	0.0414869
124.235	883.621	328.901	0.0330104
124.385	789.312	27.6873	0.0251842
124.385	789.312	276.576	0.0251842
124.457	807.946	272.86	0.0208742
124.457	807.946	312.241	0.0208742
124.513	847.638	268.902	0.0205605
125.561	1002.74	352.399	0.0133376
126.127	794.757	13.2039	0.0225464
126.25	876.975	40.4647	0.0355681
126.254	896.188	322.682	0.029323
126.418	856.996	103.651	0.0322385
126.418	856.996	292.901	0.0322385
126.493	566.698	228.967	0.0187311
126.513	917.107	355.209	0.0237135
126.655	873.683	39.2871	0.0338879
127.397	814.895	248.94	0.021344
127.482	781.852	91.8782	0.0146259
127.482	781.852	219.596	0.0146259
127.659	943.461	30.9318	0.0236698
127.961	824.208	92.5235	0.0268104
128.61	884.785	342.392	0.0307036
128.647	892.604	325.478	0.0173018
128.825	903.616	341.798	0.036893
129.027	991.295	88.978	0.0182445
129.276	1077.74	191.896	0.0216091
129.402	845.091	109.071	0.0240113
129.402	845.091	256.433	0.0240113
129.701	794.655	219.839	0.0209873
129.952	830.104	95.65	0.0520688
130.387	956.03	36.3107	0.019994
131.136	1109.06	214.622	0.0201436
131.192	858.677	14.3127	0.0165651
131.192	858.677	192.372	0.0165651
131.398	1091.66	93.5298	0.0133458
131.579	899.56	120.293	0.0256469
131.607	934.22	11.4312	0.0371281
131.609	844.948	161.461	0.0320615
131.609	844.948	261.569	0.0320615
131.802	90.7701	192.46	0.0256747
131.872	774.829	227.332	0.0178163
132.405	850.864	103.233	0.0283158
132.689	728.919	272.717	0.0141634
133.266	895.834	307.502	0.0207592
133.32	865.852	354.007	0.0189093
133.567	1032.83	180.827	0.0223966
133.609	811.8	198.67	0.0271363
133.683	887.387	358.529	0.0222718
133.809	860.073	101.677	0.0233793
133.85	891.621	310.103	0.0148883
134.04	936.918	204.188	0.0192577
134.044	991.38	92.0579	0.0196625
134.07	877.673	121.241	0.0226199
134.808	942.628	45.7486	0.0312537
134.828	803.286	18.9505	0.0268965
134.828	803.286	176.221	0.0268965
